"applicationdocsid","applicationdocstypeid","applno","submissiontype","submissionno","applicationdocstitle","applicationdocsurl","applicationdocsdate","tecode"
53390,18,21462,"ORIG",1,"0","https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/21462 pemetrexed clinpharm bpca.pdf","1900-01-01 00:00:00",
53391,17,21462,"ORIG",1,"0","https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/21462 pemetrexed statistical bpca.pdf","1900-01-01 00:00:00",
15528,2,21462,"SUPPL",4,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/021462s004lbl.pdf","2006-08-04 00:00:00",
27854,1,21462,"SUPPL",4,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/021462s004LTR.pdf","2006-08-04 00:00:00",
27855,1,21462,"SUPPL",6,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/021462s006ltr.pdf","2007-02-12 00:00:00",
36997,2,21462,"SUPPL",6,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/021462s006lbl.pdf","2007-02-21 00:00:00",
15529,2,21462,"SUPPL",12,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/021462s012lbl.pdf","2007-09-11 00:00:00",
27856,1,21462,"SUPPL",12,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/021462s012ltr.pdf","2007-09-11 00:00:00",
27857,1,21462,"SUPPL",15,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2008/021462s015ltr.pdf","2008-10-01 00:00:00",
36998,2,21462,"SUPPL",15,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/021462s015lbl.pdf","2008-09-26 00:00:00",
42180,3,21462,"SUPPL",15,"0","http://www.accessdata.fda.gov/drugsatfda_docs/nda/2008/021462s015.pdf","2011-09-22 00:00:00",
15530,2,21462,"SUPPL",18,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/021462s018s021s022lbl.pdf","2009-07-09 00:00:00",
27858,1,21462,"SUPPL",18,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/021462s018,021462s021,021462s022ltr.pdf","2009-07-08 00:00:00",
27859,1,21462,"SUPPL",21,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/021462s018,021462s021,021462s022ltr.pdf","2009-07-08 00:00:00",
36999,2,21462,"SUPPL",21,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/021462s021lbl.pdf","2009-07-06 00:00:00",
5451,1,21462,"SUPPL",22,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/021462s018,021462s021,021462s022ltr.pdf","2009-07-08 00:00:00",
37000,2,21462,"SUPPL",22,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/021462s018s021s022lbl.pdf","2009-07-09 00:00:00",
27860,1,21462,"SUPPL",29,"0","http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/021462s029,s030,s032ltr.pdf","2011-11-22 00:00:00",
37001,2,21462,"SUPPL",29,"0","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021462s029s030s032lbl.pdf","2011-11-23 00:00:00",
